"reviewText"	"summary"	"review"
"the bristles are so cheap I'm lucky to get one use out of these. These brushes are not even worth .50 a brush."	"Cheap"	"bad"
"This stuff is thick but I warm it up in my hands and use it on my face when I'm at home during the day (and olive oil at night after I wash my face.) This keeps me looking young and to prevent wrinkles. Also the shea butter is very nice on my whole body, only problem is that it doesn't last very long. Still though, I got many compliments on how soft my skin was. If you use it after shaving it'll hydrate really well."	"Feels Amazing"	"good"
"The wand is quite large, so I had to be careful that I only applied it to my lashes and not my lids.  My lashes did appear fuller and prettier. However, after a few hours, I had raccoon eyes. It ran way too easily and hence caused a bit of itching and irritation."	"Nice mascara but it rubbed off way too easily."	"neutral"
"I didn't read all the reviews before I tried the product simply because I just really wanted to like this product.  I am a normal to dry skin person, with brownish-tan skin and yellow undertones.  The color of this product does not match my skin tone.  It is meant mainly for people who have very light, white, porcelainish skin tone.  Also, if you have oily face, this will matte the oilyness on your face making it look less shiny.  If you do not have oily skin, like i didn't, it made my face look a little more oily and shiny than usual.  Also, I noticed that I sweated a little more on my face and found that to be very unusual since I normally don't sweat easily, especially on my face.  Overall, I don't like this product very much and will be giving it away."	"Doesn't work if you don't have oily skin"	"bad"
"All I can say is buy it and you will NOT be sorry!!!!  Smells great, adds sheen to very dry/dull hair all day long!  It's a MUST HAVE beauty product!"	"EXCELLENTE'"	"good"
"Over priced for the results. A little goes a long way, but I did not find the results as good as advertised."	"So-so"	"neutral"
"I read good reviews on this product, so I thought I'd give it a try.  The smell was a bit much, but didn't hang around long. It was the very greasy feeling that was left on my skin that I did not care for.  All other reviews said it was light and \"vanishes\".  Mine did the opposite.  It was like thick vaseline that clung to my face and actually had to be rubbed in for awhile to get it to \"vanish\".  Doesn't all face cream vanish? But it was the very  heavy oily greasy smelly feeling on my skin that was the annoyance. I think I will stick to Olay."	"Grease and Oil"	"bad"
"This is a great moisturizer with tons of minerals and nutrients (such as Vitamin C) that leaves my skin feeling fresh and healthy.I'm very happy with my purchase and happy that it moisturizes without leaving my skin oily."	"Works Great!"	"good"
"This product did not work as well as I expected.  Neutrogena makes excellent products, but I feel slightly disappointed in this one."	"No results yet."	"neutral"
"This product has great reviews but it did not work for me. This is not simply a Knot today, this is never again.I am a mix of Japanese and Black and my hair is very curly.For me, this product does no better than using a shampoo/conditioner combination like Pantene and comb/detangle while washing your hair. Plus it's cheaper.I left the product in my hair like the instructions said and it made my hair limp.I always use Paul Mitchell's super sculpt lotion to define my curls and leaving both products in my hair was too much.The search continues...I would not re-purchase this product."	"Knot today...."	"bad"
"I enjoy the body wash itself, but the tube is a pain to squeeze the product out of and for the record I have strong hands.  I prefer the body wash with the micro beads, but overall the scent and product is good."	"Scent and Feel is Good, Squeezable Bottom Needs Revamping"	"good"
"OK, I heard this is good for dry skin, I have tried it on certain places on my face that is very dry due to treatment for sun damage. It does soften the skin but it kind of hard to blend it in without pulling the skin more than I like to. Mixing it with an almond oil helps liquify it. It's OK"	"Not as thin as I would have liked"	"neutral"
"I bought this after seeing a youtube review of a woman applying this this.  I watched some middle aged woman apply this with what seemed to be very drastic and noticeable results.  I thought that this stuff must be awesome, she was not a model... just an average lady so I thought for sure I could duplicate the fabulous effects.For me it doesn't fill in crevices and wrinkles like it did for the lady in the youtube video (and mine are not nearly what hers were).  What it does do is eliminate SHINE so that they are less noticeable.  However I note that this effect (for me) is limited to an hour or two and my shininess is back.  I do have rather oily skin.It does at least come with a sun screen built in, but I wanted this for the beautifying effects which for me are not there."	"This didn't work very well."	"bad"
"I used this one time and i love the results! im light to med skin tone , neutral and this gave me a really nice bronze looking tan. i had it on for about four hrs. i also i have the origional fb flaw less and this is one is def better as far as color payoff goes. really like this stuffthe only thing is it smells similar to the origional fb but its a little smellier but , you get to shower after an hr so its no biggie , still a great tanner"	"nice bronze tan"	"good"
"As with 99% of all acne and blackhead products on the market, it's yet another formulation of 2% salicylic acid in a mixture. The warming part is interesting upon first use since the product feels very warm on your fingers for about 2 seconds but isn't at all noticeable on your face. Since it's not warm after application, it doesn't seem to add anything to the cleansing action.After two weeks of usage, I wouldn't say this product is better or worse than another other salicylic acid product on the market. The results for me have been the same as every other product I've ever used and there are cheaper products in the supermarket that offer the same treatment."	"Another salicylic acid product - the warming part is a gimmick"	"neutral"
"I have purchased these a few times on amazon and it has been great expect Amazon must have changed the company it purchases its fragrances as this was a cheap knock-off version of the actual eau de toilette. I cannot risk purchases these anymore through Amazon as the customer service rep could not even disclose the manufacture of these fragrances. I am back to buying Amariage on Macy's even if it cost more money... at least i know it is the authentic brans."	"Not actual product"	"bad"
"This cuticle remover is wonderful--you don't need to leave it on very long and the skin sloughs right off. I don't even use a cuticle pusher--just my nail or I wipe the excess cuticle off with a cotton round. I rarely have to trim any cuticle at all because this takes care of most of it. I've also heard it's really good at removing dry skin from feet, so that's something else to try now!Some warnings: It is very watery, so don't expect the creamier stuff they often use at salons. Also, a little goes a very long way so, unless you're a nail salon, you do not need the 32 oz bottle. That' what I got and I filled a small container and over the last 4 months or so, I've barely made a dent in it. This is going to last me forever.Overall, highly recommend this product. Like it much more than the pink Formula 10 stuff I'd been using before, which really didn't work for me."	"Works perfectly!"	"good"
"I a m in love with this palette. I love the colors, I love that they don't smell bad, I love how they look with or without primer. That being said, they are brittle. Have a light touch when using to avoid needing to vacuum up makeup crumbles!"	"Gorgeous colors!"	"neutral"
"I have very oily skin.  It's a curse, I know.  Because of that, I usually look for products that claim to handle that issue.  This Axe face wash is called `Controil' and is targeted at that particular problem.  Sadly, it doesn't work that wonderfully, or at least for that long.  Granted, if I shower in the morning then I can get until the evening before feeling the need to wash my face again, but if I don't have the time to shower then this product doesn't really do the trick.  Washing my face in the morning gets me till about lunchtime or there abouts before I'm feeling the need to wash my face again.  The smell is also VERY strong and distinct and kind of off putting.  It has a very artificial smell.  I won't be reaching for this product again."	"It doesn't control a whole lot..."	"bad"
"This is the real deal in Indigo, used it mainly when I use regular henna to achieve more brunette henna color!  Once in a while I will add it to my Henna Hut brown in fall and winter months for deeper brown color!"	"jo jo east baltimore"	"good"
"i've been using this for almost 4 months now and this don't work on my stretch marks, i don't see any difference but i'm giving out 3 stars coz it makes my skin soft and smell good."	"not for stretch marks :("	"neutral"
"I really liked this mirror at first - it seemed like such a good (though spartan) design.However, after a few months, it's developed a cloudy haze that just won't clean off:  I've tried everything, even toothpaste, but it almost seems as if the surface of the mirror has changed.I had to throw it away,Not recommended."	"Develops a haze that WILL NOT COME OFF!"	"bad"
"This is the straight version of the angled toenail clipper and I found after some work with the both clippers that this is a good combination.Works well."	"MEHAZ 660 Professional Nail Clipper (Model: 9MC0660)"	"good"
"It's ok, nothing to get too excited over. Makes your lashes look good but doesn't last long. Not much in the tube."	"It's ok, nothing to get excited over"	"neutral"
"This offers no coverage for me at all. It just made my dark circles look dry and ashy. On tothe next concealer."	"Powder = no coverage"	"bad"
